id,name,apple,google,lon,lat,auid
1,Battle Mountain Trail,"https://maps.apple.com/?ll=33.04639945976484,-117.06616156310764&q=Battle%20Mountain%20Trail","https://www.google.com/maps/place/33.04639945976484,-117.06616156310764",-117.066162,33.046399,
2,Bernardo Mountain,"https://maps.apple.com/?ll=33.06627271794851,-117.06823599672813&q=Bernardo%20Mountain","https://www.google.com/maps/place/33.06627271794851,-117.06823599672813",-117.068236,33.066273,
3,Black Canyon,"https://maps.apple.com/?ll=33.124106759478806,-116.80194041351876&q=Black%20Canyon","https://www.google.com/maps/place/33.124106759478806,-116.80194041351876",-116.80194,33.124107,
4,Blue Sky Reserve to Lake Ramona,"https://maps.apple.com/?ll=33.01748458947847,-117.02476434204942&q=Blue%20Sky%20Reserve%20to%20Lake%20Ramona","https://www.google.com/maps/place/33.01748458947847,-117.02476434204942",-117.024764,33.017485,
5,Boden Canyon,"https://maps.apple.com/?ll=33.10513056302119,-116.85855309010778&q=Boden%20Canyon","https://www.google.com/maps/place/33.10513056302119,-116.85855309010778",-116.858553,33.105131,
6,Buena Vista Park Loop,"https://maps.apple.com/?ll=33.157162348005016,-117.24674846357149&q=Buena%20Vista%20Park%20Loop","https://www.google.com/maps/place/33.157162348005016,-117.24674846357149",-117.246748,33.157162,
7,Caballo Trail to Stanley Peak,"https://maps.apple.com/?ll=33.1592838,-117.0323578&q=Caballo%20Trail%20to%20Stanley%20Peak","https://www.google.com/maps/place/33.1592838,-117.0323578",-117.032358,33.159284,
8,Cedar Creek Falls,https://maps.apple.com/?auid=5504072868711465542,"https://www.google.com/maps/place/32.99529428495009,-116.75625877002942",-116.756259,32.995294,5504072868711465542
9,Clevenger Canyon North,"https://maps.apple.com/?ll=33.0846596,-116.9160533&q=Clevenger%20Canyon%20North","https://www.google.com/maps/place/33.0846596,-116.9160533",-116.916053,33.08466,
10,Clevenger Canyon South,"https://maps.apple.com/?ll=33.0848006,-116.921781&q=Clevenger%20Canyon%20South","https://www.google.com/maps/place/33.0848006,-116.921781",-116.921781,33.084801,
11,Coast to Crest San Pasqual Valley,"https://maps.apple.com/?ll=33.07748331438401,-116.9874932338994&q=Coast%20to%20Crest%20San%20Pasqual%20Valley","https://www.google.com/maps/place/33.07748331438401,-116.9874932338994",-116.987493,33.077483,
12,Daley Ranch - Boulder Loop,"https://maps.apple.com/?ll=33.1660296,-117.0525383&q=Daley%20Ranch%20-%20Boulder%20Loop","https://www.google.com/maps/place/33.1660296,-117.0525383",-117.052538,33.16603,
13,Daley Ranch - Cougar Pass Trail Head,https://maps.apple.com/?auid=11351273751054012505,"https://www.google.com/maps/place/33.20965331233889,-117.08652377128601",-117.086524,33.209653,11351273751054012505
14,Daley Ranch - Ranch House,"https://maps.apple.com/?ll=33.1666884821354,-117.05222577690495&q=Daley%20Ranch%20-%20Ranch%20House","https://www.google.com/maps/place/33.1666884821354,-117.05222577690495",-117.052226,33.166688,
15,Del Dios Highlands Preserve Trail,"https://maps.apple.com/?ll=33.084715,-117.119996&q=Del%20Dios%20Highlands%20Preserve%20Trail","https://www.google.com/maps/place/33.084715,-117.119996",-117.119996,33.084715,
16,Double Peak Trail,"https://maps.apple.com/?ll=33.12492405490576,-117.17853321440595&q=Double%20Peak%20Trail","https://www.google.com/maps/place/33.12492405490576,-117.17853321440595",-117.178533,33.124924,
17,Elfin Forest Recreational Reserve,https://maps.apple.com/?auid=4554615278053050699,"https://www.google.com/maps/place/33.08675947722494,-117.1456503868103",-117.14565,33.086759,4554615278053050699
18,Ellie Lane Trail,https://maps.apple.com/?auid=9505313737666878366,"https://www.google.com/maps/place/32.98765732146445,-116.97677850723267",-116.976779,32.987657,9505313737666878366
19,Fry Koegel Trail,"https://maps.apple.com/?ll=33.011469,-116.954654&q=Fry%20Koegel%20Trail","https://www.google.com/maps/place/33.011469,-116.954654",-116.954654,33.011469,
20,Hellers Bend Preserve,"https://maps.apple.com/?ll=33.31511889674685,-117.23411811404628&q=Hellers%20Bend%20Preserve","https://www.google.com/maps/place/33.31511889674685,-117.23411811404628",-117.234118,33.315119,
21,Highland Valley Trail,https://maps.apple.com/?auid=16365244034924928268,"https://www.google.com/maps/place/33.052464,-117.0657",-117.0657,33.052464,16365244034924928268
22,Inaja Trail,"https://maps.apple.com/?ll=33.09840412901673,-116.66488101845755&q=Inaja%20Trail","https://www.google.com/maps/place/33.09840412901673,-116.66488101845755",-116.664881,33.098404,
23,Iron Mountain Trail,https://maps.apple.com/?auid=6566101934350929308,"https://www.google.com/maps/place/32.978282,-116.972595",-116.972595,32.978282,6566101934350929308
24,Lake Hodges - North Shore,"https://maps.apple.com/?ll=33.06283778223582,-117.11994159441899&q=Lake%20Hodges%20-%20North%20Shore","https://www.google.com/maps/place/33.06283778223582,-117.11994159441899",-117.119942,33.062838,
25,Lusardi Loop Trail,https://maps.apple.com/?auid=11843003727474568838,"https://www.google.com/maps/place/33.004462,-117.163739",-117.163739,33.004462,11843003727474568838
26,Los Jilgueros,"https://maps.apple.com/?ll=33.353678337245924,-117.24535847109847&q=Los%20Jilgueros","https://www.google.com/maps/place/33.353678337245924,-117.24535847109847",-117.245358,33.353678,
27,Love Valley,"https://maps.apple.com/?ll=33.264057199185444,-116.77389639048505&q=Love%20Valley","https://www.google.com/maps/place/33.264057199185444,-116.77389639048505",-116.773896,33.264057,
